Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Cierre Novedades para liquidación	**Cierre novedades para liquidación**\n\nTodas las novedades de horas extras, adicionales y ausencias 📝a considerar en el mes cierran los días 15 de cada mes. A posteriori, las novedades se incorporarán al mes siguiente y se liquidarán de manera retroactiva.\n\n¿Te pudo ayudar con otros temas?	RRHH4		[]	False	[]	231
Fecha de Pago	**Fecha de pago**\n\n📆 Los sueldos se depositan en tu cuenta bancaria declarada el **último día hábil del mes**.\n\nSi sos jefe, gerente o director, tu sueldo se acredita el 1er día hábil del mes siguiente.\n\n¿Querés avanzar con otros temas? 😉	RRHH4		[]	False	[]	232
Recibo Digital	**Recibo haberes**\n\n📰 ¿Sabías que podes acceder a tu recibo digital desde Integrar?\n\nIngresá a Integrar y en la home **desplázate** hacia abajo hasta alcanzar los mosaicos de **“Mi información**”. En esa sección, seleccioná “**Mis recibos de Nómina**”.\n\nAccedé con un clic en 👇, recordá que tenés que estar conectado a la red https://performancemanager4.successfactors.com/sf/start?_s.crb=9HPzQ2U1xDee2pGlppZCtTUOlmwev3lvLBFPM5IogB0%253d#Shell-home\n\nBuenísimo, ¿Te interesa consultarme por otro tema?	RRHH4		[]	False	[]	233
Aguinaldo	**Aguinaldo**\n\n💰En los meses de junio y diciembre cobras el Aguinaldo o Sueldo Anual Complementario (SAC).\n\nPara calcularlo, obtenés el mejor sueldo del semestre, lo dividís por 2 y calculas el valor proporcional a los días trabajados en el semestre.\n\n➡El aguinaldo del mes de junio, lo cobras junto con los haberes del mes.\n\n➡El aguinaldo de diciembre, lo cobras el día 18/12 o el día hábil anterior.\n\n¿Puedo ayudarte con otro tema?	RRHH4		[]	False	[]	234
Anticipos	**Anticipos**\n\nSolicitá el **anticipo de sueldo o vacaciones** a tu supervisor directo mediante autogestión en Integrar, a través de la sección “Solicitudes”. También podrás consultar el seguimiento o visualizar el historial.\n\nLa solicitud aprobada por tu líder los días 15 de cada mes se depositará en tu cuenta.\n\nEl monto máximo que podés pedir\n\nAnticipo de Sueldos: 50% de tu salario\n\nAnticipo Vacaciones: proporcional a los días de tus vacaciones\n\nAccedé a Integrar haciendo clic 👇, recordá que tenés que estar conectado a la red\n\nhttps://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=rkQ8w%252buPaZXesMZHeRNDY4mgP0vOpp2H%252bvC9GEmTdlU%253d\n\nSi necesitas mayor detalle, accedé al siguiente video https://metrogasar.sharepoint.com/sites/mo/SitePages/NFI_PG-EC-A.aspx\n\n¿ Necesitas información sobre otro tema?	RRHH4		[]	False	[]	235
Carga de objetivos	**Carga de GPO (Gestión por objetivos)**\n\n¡Podés hacerlo muy fácil desde Integrar! 😊. Tenés que ir a inicio, abrir el desplegable y seleccionar Mis Formularios, luego Bandeja de entrada y seleccionas los Objetivos del corriente año.\n\nAccedé a este link, recordá que tenés que estar conectado a la red, 👉 https://performancemanager4.successfactors.com/sf/pmreviews?bplte_company=MetrogasP&_s.crb=rkQ8w%252buPaZXesMZHeRNDY4mgP0vOpp2H%252bvC9GEmTdlU%253d\n\nSi necesitas mayor detalle, podrás acceder al video instructivo ❓ https://metrogasar.sharepoint.com/sites/mo/SitePages/NFI_PG-GesxObj-3.aspx\n\n¡Es un placer poder ayudarte! ¿Puedo ayudarte con otro tema?	RRHH4		[]	False	[]	236
Evaluación de Desempeño	**Gestión de desempeño**\n\nTenés derecho de mantener una charla anual con tu superior sobre tu desempeño.\n\nIdentifica tus fortalezas y áreas de oportunidad (autoevaluación) y luego cargalas en Integrar, para que tu supervisor esté mejor preparado para la reunión y pueden hacer un uso efectivo del tiempo.\n\n¡Es súper simple hacerlo! En Integrar ir a _Inicio_, abrir el desplegable y seleccionar _Mis Formularios_ , luego _Bandeja de entrada _y seleccionas la _Evaluación de Desempeño _del año actual.\n\nSi necesitas consultar las evaluaciones de años anteriores, seleccioná _Mis Formularios, _luego accedé al Menú de _Completadas_.\n\nAccedé a este link, recordá que tenés que estar conectado a la red, 👉\n\nhttps://performancemanager4.successfactors.com/sf/pmreviews?bplte_company=MetrogasP&_s.crb=YG4k%252fKEjG3M5%252fM4uRgd4bjS2Cue%252bO7NQqe9AeEBv8Vk%253d\n\n¿Necesitas información de otro tema? 🙂	RRHH4		[]	False	[]	237
Integrar	**Integrar**\n\n🙌¡Qué bueno que te interesa saber más cosas de Integrar!\n\nTodos los colaborador@s de la empresa debemos autogestionar nuestros propios datos y de los equipos en Integrar.\n\nPodes actualizar tus datos personales, estudios en curso, formación de grado que servirá de base para tu carrera profesional, pedir anticipos, vacaciones, licencias y también gestionar tu desarrollo, desempeño, formación y objetivos.\n\n¡Es súper importante que completes tu perfil de empleado para tu desarrollo y carrera profesional y así poder participar en búsquedas internas o promociones!\n\nTe puedo ayudar con estos temas👇	Integrar		[]	False	[]	238
Beneficios	**Beneficios**\n\nTe ofrecemos un Programa de beneficios, complementario al salario, para contribuir a tu balance de la vida laboral y profesional. 😊\n\nElegí una de las siguientes opciones para darte más detalle 👇	Beneficios		[]	False	[]	239
Guardería	**Guardería**\n\n👩‍👧‍👦Es una ayuda para las mamás que trabajan en la empresa para el cuidado de sus hijos hasta la edad preescolar inclusive, incluye por ejemplo; Jardín, colonia, niñera.\n\nPodes cobrarla desde el momento en que te reincorporás al trabajo y hasta que tu hij@ cumpla 6 años o hasta que comience primer grado (lo que ocurra primero).\n\nEn el caso de Jardín, la ayuda contempla un pago adicional por la matrícula anual siendo el tope del valor a reconocer por matrícula, igual al de la cuota mensual de reembolso.\n\nEnviá vía e-mail 📧el comprobante/factura a administracionrrhh@metrogas.com.ar, tenés tiempo hasta el día 15 de cada mes. El reintegro lo cobrás por recibo de sueldo.\n\n¿En qué otros temas puedo ayudarte? 😉	Beneficios2		[]	False	[]	240
Abono telefonía móvil	**Abono telefonía móvil**📱\n\nPodés obtener descuentos en el abono de líneas de telefonía móvil para los usuarios de la compañía Movistar.\n\nSi te interesa, solicitá los datos del ejecutivo de cuentas de la compañía telefónica al área de Planificación, Organización y Compensaciones.\n\nGenial, ¿en qué otros temas puedo ayudarte? 🙂	Beneficios2		[]	False	[]	241
Adelanto a cancelar en cuotas	**Adelanto a cancelar en cuotas**\n\n¿Necesitas una ayuda económica ante una situación de emergencia?\n\n, Podés solicitar un adelanto de sueldos a cancelar en cuotas con un máximo de 1 sueldo y medio bruto percibido del último mes (importe mensual sujeto a retenciones – excluidos los conceptos variables).\n\nTenés que realizar la solicitud mediante autogestión en Integrar, a través de “Mi Perfil, Solicitudes, Anticipo a Cancelar en Cuotas”.\n\nHacé clic [aquí](https://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=LNK3aYZNKd5jqnqOl8eBvxXx%252bjwza2Xq3h%252fNAnuQPPI%253d) para acceder a Integrar, ❗recordá que tenés que estar conectado a la red\n\n¿En qué otros temas puedo ayudarte? 🙂	Beneficios2		[]	False	[]	242
Información Personal	**Información Personal**\n\nPodes actualizar los datos personales o tu información de empleo (Cambio de domicilio, CBU, nuevo contacto de emergencia, entre otros) en Integrar\n\nDe requerir actualizar tu grupo familiar, enviá un mail al área de Administración y Nómina.\n\nAccedé a Integrar haciendo clic en este link, recordá que tenés que estar conectado a la red, 👉\n\n[https://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=QCMC6MFfNOEyAyJ0oggSwj5JaR4uVfHgD7EX2Pa4v9M%253d](https://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=QCMC6MFfNOEyAyJ0oggSwj5JaR4uVfHgD7EX2Pa4v9M%253d)\n\nTe sugiero que ingreses al siguiente link para mayor información [https://metrogasar.sharepoint.com/sites/mo/SitePages/NFI_PG-EC.aspx](https://metrogasar.sharepoint.com/sites/mo/SitePages/NFI_PG-EC.aspx)\n\n¿ Necesitas ayuda con otro tema?	Integrar2		[]	False	[]	243
Certificado de trabajo	**Certificado de trabajo**\n\n**¿Sabías que podés obtener tu certificado de trabajo desde Integrar?** 📄\n\n. Accedé a tu perfil, selecciona _Acciones_ (lado superior derecho) luego, la opción _Generar Documento y completá en _Plantillas_ con Certificado de trabajo.\n\n▶ Hacé clic [aquí](https://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=QCMC6MFfNOEyAyJ0oggSwj5JaR4uVfHgD7EX2Pa4v9M%253d)para ingresar a Integrar, recordá que tenés que estar conectado a la red, ❗ Tené presente que el certificado debe tener la firma del área de Administración y Nómina para que sea válida. Sugiero que te dirijas al área con el certificado para su firma. 📝\n\n¿Te interesa consultarme por otro tema?	Integrar2		[]	False	[]	244
Seguro de Vida optativo	**Seguro de Vida optativo**\n\nPodés contratar coberturas adicionales optativas a tarifas preferenciales por debajo del valor de mercado y/o modificar los beneficiarios de tu seguro vigente. Te sugiero que te contactes con al área de Transferencia Riesgos Analía D´Alessandro ([adalessa@metrogas.com.ar](mailto:adalessa@metrogas.com.ar)) para informarte sobre las tarifas actualizadas y acceder al beneficio.\n\nSeguimos ¿Puedo ayudarte con otro tema?🙂	Beneficios2		[]	False	[]	245
Estímulo estudiante Ingeniería	**Estímulo estudiante Ingeniería**\n\nEste beneficio está destinado a personal efectivo con una antigüedad mínima de seis meses, que esté cursando la carrera de Ingeniería en cualquiera de sus ramas y con al menos primer año de la carrera aprobado. \n\nTe sugiero que contactes al responsable del área de Gestión de Talento, Cambio y Cultura para tener mas información.\n\n¿Necesitas ayuda con otro tema?	Beneficios2		[]	False	[]	246
Prestadora médica	**Prestadora médica**\n\nTe ofrecemos una cobertura de atención médica privada de alto nivel sin cargo para vos y tu grupo familiar directo, a través de la prestadora médica Swiss Medical en el Plan Grupo Salud.\n\nPuedo brindarte mayor información sobre estos temas 👇	PrestadoraMedica		[]	False	[]	247
Gimnasio	**Gimnasios**\n\n¡Qué bueno que te interesa hacer actividad física! 💪\n\nPodes acceder junto a tu grupo familiar primario a los mejores gimnasios y centros deportivos con importantes descuentos y beneficios a través de acuerdos con las redes \n\n➡ Gympass, Sportclub y Megatlon.\n\nContamos con distintos planes a costos diferenciales con el pago de una cuota mensual.\n\n¿Cómo abonas la cuota? 💲\n\nGympass : la cuota del titular se descuenta por recibo (mes en curso) y la/s cuota/s de l@s integrantes del grupo familiar mediante tarjeta de crédito\n\nSportClub y Megatlon: la cuota del titular y grupo familiar se descuenta por recibo (mes adelantando).\n\nPara mayor información, solicitar el alta o baja, enviá un mail 📧 a salud[ocupacional@metrogas.com.ar](mailto:ocupacional@metrogas.com.ar)\n\n¿Necesita más información sobre otro tema?	Beneficios2		[]	False	[]	248
Lactario	**Lactario**\n\nSi te encontrás en periodo de lactancia y necesita privacidad, dispones en la Sede Ombú de una locación privada y acondicionada.\n\nPara acceder a la locación, te sugiero que contactes al área de Salud Ocupacional.\n\n¿Necesita mas información sobre otro tema?	Beneficios2		[]	False	[]	249
Programa Wellness	**Programa Wellness**\n\nPodés participar del programa de Wellnes que focaliza en el equilibrio a través de una vida con hábitos saludables: Pausas activas, alimentación consciente, streching, vacunación, actividad física, etc.\n\nSalud Ocupacional lidera el programa de Wellnes y comunica las actividades a todo el personal a través de los medios disponibles del área de Comunicación Interna. \n\n¿Te puedo ayudar con otro tema?	Beneficios2		[]	False	[]	250
Cobertura Médica Internacional	**Cobertura Médica Internacional**\n\nPodés activar la cobertura médica internacional **sólo para vos como titular** (emplead@) mediante el envío de un mail 📧 a [backoffice-sac@assistcard.com](mailto:backoffice-sac@assistcard.com) desde tu mail personal indicando la siguiente información:\n\n*   ➡Nombre y Apellido\n*   ➡Nro de credencial\n*   ➡Plan de Swiss Medical\n*   ➡DNI\n*   ➡Lugar del Viaje\n*   ➡Fecha desde y Fecha Hasta\n\nSi tenés alguna consulta adicional, comunícate por teams con @Prestadora Médica\n\n¿Puedo ayudarte con otro tema?	Beneficios2		[]	False	[]	251
Cobertura Internacional	**Cobertura Médica Internacional**\n\nPodés activar la cobertura médica internacional **sólo para vos como titular** (emplead@) mediante el envío de un mail 📧 a [backoffice-sac@assistcard.com](mailto:backoffice-sac@assistcard.com) desde tu mail personal indicando la siguiente información:\n\n*   ➡Nombre y Apellido\n*   ➡Nro de credencial\n*   ➡Plan de Swiss Medical\n*   ➡DNI\n*   ➡Lugar del Viaje\n*   ➡Fecha desde y Fecha Hasta\n\nSi tenés alguna consulta adicional, comunícate por teams con @Prestadora Médica\n\n¿Puedo ayudarte con otro tema?	PrestadoraMedica2		[]	False	[]	252
Bicicletas y Motos	**Estacionamiento bicis, monopatín y motos** 🚲🛴🏍\n\nPodes estacionar tu bicicleta, monopatín o motocicleta en lugar cubierto y custodiado en Barracas, Lope de Vega y Llavallol **(sujeto a disponibilidad por orden de llegada).**\n\nPara acceder al estacionamiento, contactáte por teams con @relacioneslaborales el y es obligatorio realizar un e-learning desde Integrar, con el objetivo de conocer las normas de seguridad vial para cada caso.\n\nPara realizar el curso, ingresá [aquí](https://performancemanager4.successfactors.com/sf/learning?destUrl=https%3a%2f%2fmetrog%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dONLINE%5fCONTENT%5fSTRUCTURE%26componentID%3d269006%26componentTypeID%3dMETRO%5fCUR%5fINTERNO%26revisionDate%3d1649774941000%26fromSF%3dY&company=MetrogasP), recordá que tenés que estar conectado a tu usuario de red\n\n¿Puedo ayudarte con otro tema?	Beneficios2		[]	False	[]	253
Estacionamiento bicis, monopatín y motos	**Estacionamiento bicis, monopatín y motos** 🚲🛴🏍\n\nPodes estacionar tu bicicleta, monopatín o motocicleta en lugar cubierto y custodiado en Barracas, Lope de Vega y Llavallol **(sujeto a disponibilidad por orden de llegada).**\n\nPara acceder al estacionamiento, contactáte por teams con @relacioneslaborales el y es obligatorio realizar un e-learning desde Integrar, con el objetivo de conocer las normas de seguridad vial para cada caso.\n\nPara realizar el curso, ingresá [aquí](https://performancemanager4.successfactors.com/sf/learning?destUrl=https%3a%2f%2fmetrog%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dONLINE%5fCONTENT%5fSTRUCTURE%26componentID%3d269006%26componentTypeID%3dMETRO%5fCUR%5fINTERNO%26revisionDate%3d1649774941000%26fromSF%3dY&company=MetrogasP), recordá que tenés que estar conectado a tu usuario de red\n\n¿Puedo ayudarte con otro tema?	Beneficios2		[]	False	[]	253
Horario Flexible	**Horario Flexible** 🕓\n\nTenemos distintas opciones de horario flexible para contribuir a tu balance de la vida laboral y profesional. 💪💪\n\n❗ Es importante mencionar que todas las entrevistas y/o reuniones deberán concertarse durante el horario central de 9 a 17 hs.\n\nElegí una de las siguientes opciones para darte más detalle	Flexible		[]	False	[]	254
Almuerzo Flexible	**Almuerzo flexible** 🥗\n\nPodés gozar del **descanso de almuerzo** en la franja horaria **entre las 12hs y las 14 hs**, debiendo **cumplir el tiempo** de dicho **descanso** estipulado para tu **modalidad laboral** (30 min, o 1 hora) Tené en cuenta que sólo es aplicable a personal que no está asignado a esquema de turnos u horario de trabajo extendido.\n\nSi bien no necesitas pactar de manera previa con tu superior directo, debes respetar los compromisos acordados del día.\n\nContame 😊 ¿Necesitas alguna otra información?	Flexible2		[]	False	[]	255
